Name,Category,Rating,Review Count,Address,City,State,Zip Code
Asian Art Museum,Museums,4.5,612,200 Larkin St,San Francisco,CA,94102
The Painted Ladies,Landmarks & Historical Buildings,4.0,101,701-799 Steiner St,San Francisco,CA,94117
Alamo Square,Parks,4.5,430,Steiner St & Hayes St,San Francisco,CA,94115
Japantown,Landmarks & Historical Buildings,4.0,375,Post and Buchanan,San Francisco,CA,94115
Union Square Park,Parks,4.0,434,"323 Geary St, Ste 203",San Francisco,CA,94101
Dolores Park,Parks,4.5,1249,Dolores St,San Francisco,CA,94114
Yerba Buena Gardens,Parks,4.5,338,745 Mission St,San Francisco,CA,94103
Cable Car Museum,Museums,4.5,260,1201 Mason St,San Francisco,CA,94108
San Francisco's Chinatown,"Local Flavor, Landmarks & Historical Buildings",4.0,413,Grant Ave and Bush St,San Francisco,CA,94101
Balmy Street Murals,Local Flavor,5.0,86,1-100 Balmy St,San Francisco,CA,94110
The Real SF Tour,Tours,5.0,71,50 Drumm St,San Francisco,CA,94111
Lombard Street,"Local Flavor, Landmarks & Historical Buildings",4.0,523,1000-1099 Lombard St,San Francisco,CA,94133
Lyon Street Steps,"Local Flavor, Hiking",5.0,275,Lyon Street & Green St,San Francisco,CA,94123
Coit Tower,"Landmarks & Historical Buildings, Museums",4.0,725,1 Telegraph Hill Blvd,San Francisco,CA,94133
Exploratorium,"Venues & Event Spaces, Museums",4.5,612,Pier 15,San Francisco,CA,94111
Ghirardelli Square,Local Flavor,3.5,772,900 N Point St,San Francisco,CA,94109
Art Attack SF,Art Galleries,5.0,10,2722A Hyde St,San Francisco,CA,94109
Conservatory of Flowers,"Botanical Gardens, Venues & Event Spaces",4.5,421,"Golden Gate Park, 100 John F Kennedy Dr",San Francisco,CA,94118
Twin Peaks,"Parks, Landmarks & Historical Buildings",4.5,891,501 Twin Peaks Blvd,San Francisco,CA,94114
Madame Tussauds San Francisco,Museums,4.0,96,"145 Jefferson St, Ste 600",San Francisco,CA,94133
